topic,word,score
0,born,0.0199425
0,years,0.0112323
0,time,0.0107843
0,south,0.00903738
0,2005,0.00892833
0,2008,0.00892085
0,2007,0.00879576
0,2009,0.0086557
0,australian,0.00827723
0,canadian,0.00809655
0,london,0.00770311
0,joined,0.00765072
0,united,0.00718565
0,st,0.00715037
0,canada,0.00685101
0,made,0.0068478
0,2001,0.00658052
0,john,0.00622343
0,australia,0.00614111
0,2004,0.00601709
0,city,0.00587596
0,2011,0.00532857
0,december,0.00514361
0,october,0.00497576
0,england,0.00497148
0,1997,0.00490199
0,church,0.00486243
0,left,0.00481432
0,2003,0.00463043
0,january,0.00442515
0,race,0.00440377
0,july,0.00436421
0,part,0.00435352
0,early,0.00420705
0,september,0.00413863
0,returned,0.00406806
0,work,0.00397505
0,toronto,0.00377191
0,august,0.00359765
0,ireland,0.00347683
0,1984,0.00343942
0,member,0.00343835
0,february,0.00343514
0,english,0.00339772
0,1990,0.0033603
0,april,0.00320314
0,irish,0.00310264
0,1,0.00309302
0,son,0.00308019
0,number,0.00305239
0,1993,0.00299145
0,end,0.00296686
0,peter,0.00286529
0,northern,0.00278938
0,began,0.00277014
0,david,0.00269851
0,1985,0.00264398
0,east,0.00256059
0,ontario,0.00253493
0,announced,0.00247292
0,sydney,0.00246116
0,short,0.00244512
0,1992,0.0024077
0,wales,0.00237135
0,1994,0.00234676
0,involved,0.00234249
0,melbourne,0.00231148
0,scottish,0.00226551
0,educated,0.00225803
0,local,0.00224947
0,1982,0.00219815
0,subsequently,0.0021308
0,age,0.00212973
0,3,0.00211049
0,paul,0.00209979
0,hong,0.0020581
0,started,0.00202923
0,centre,0.0020164
0,1983,0.00200999
0,8,0.00199823
0,park,0.00197791
0,1989,0.00197471
0,bishop,0.00195653
0,10,0.00193515
0,kong,0.0019298
0,scotland,0.0019159
0,1979,0.00186779
0,leaving,0.00179937
0,4,0.00173736
0,1988,0.00172346
0,james,0.00171811
0,12,0.00171063
0,return,0.00166787
0,6,0.00163686
0,career,0.00161869
0,victoria,0.00161655
0,britain,0.00161013
0,1981,0.00161013
0,7,0.0015941
0,sir,0.00157913
0,considered,0.00157806
0,continued,0.00153102
0,appointed,0.00150322
0,dublin,0.00150322
0,1977,0.00149039
0,christian,0.00146473
0,andrew,0.00146473
0,martin,0.00143479
0,queens,0.00143159
0,30,0.00140165
0,held,0.0013931
0,2,0.00138668
0,included,0.00136851
0,county,0.00135782
0,manchester,0.00135675
0,brian,0.00132361
0,moving,0.00132147
0,called,0.00131184
0,form,0.00128939
0,kingdom,0.00128832
0,join,0.00128405
0,period,0.00127656
0,home,0.00127015
0,18,0.00126694
0,children,0.00125839
0,1970s,0.00125197
0,tony,0.0012477
0,1975,0.00123807
0,birmingham,0.00123166
0,montreal,0.00122097
0,quebec,0.00121776
0,vancouver,0.00121348
0,11,0.00121242
0,initially,0.00120707
0,programme,0.00120172
0,25,0.00118996
0,riding,0.00118996
0,15,0.001175
0,back,0.00117072
0,1980,0.00117072
0,formed,0.0011611
0,brothers,0.00115789
0,named,0.00115789
0,premier,0.00115148
0,charles,0.00114292
0,queensland,0.00114078
0,place,0.00113971
0,scott,0.00113758
0,man,0.00113116
0,16,0.00113009
0,remained,0.00111299
0,taylor,0.00111192
0,due,0.00110871
0,sunday,0.00110764
0,lord,0.0011023
0,saint,0.00110123
0,full,0.00109053
0,ottawa,0.0010884
0,utah,0.00108626
0,move,0.00107984
0,adelaide,0.00107343
0,francis,0.00105953
0,richard,0.00105739
0,9,0.00104135
0,gary,0.0010328
0,19,0.00103066
0,joining,0.00102425
0,1973,0.00102211
0,1963,0.0010157
0,1980s,0.00101463
0,kevin,0.00101249
0,leading,0.000999659
0,kings,0.000983622
0,anthony,0.000981483
0,alan,0.000979345
0,returning,0.00097293
0,ran,0.000969723
0,kelly,0.000969723
0,victorian,0.000960101
0,hill,0.000959032
0,alberta,0.000959032
0,hamilton,0.000957963
0,ian,0.000953686
0,robinson,0.000950479
0,side,0.000945133
0,roman,0.000937649
0,liverpool,0.000935511
0,patrick,0.00092482
0,doctor,0.000909852
0,bristol,0.0008874
0,performance,0.000886331
0,glasgow,0.000879916
0,joseph,0.000876709
0,priest,0.00087457
0,previous,0.000872432
0,5,0.000866017
0,replaced,0.000854257
0,1961,0.00084998
0,star,0.000836082
0,ordained,0.000829667
0,whilst,0.000829667
0,thompson,0.000827529
0,jesus,0.000823252
0,queen,0.000820045
0,christ,0.000810423
0,mark,0.000810423
0,brought,0.000809353
0,cbc,0.000806146
0,youngest,0.000805077
0,pope,0.000795455
0,bob,0.000792247
0,saints,0.000787971
0,13,0.000783694
0,retirement,0.000777279
0,elizabeth,0.00077621
0,gained,0.000774072
0,canadas,0.000769796
0,central,0.000767657
0,husband,0.000767657
0,campbell,0.000754828
0,archbishop,0.000752689
0,area,0.000738791
0,sheffield,0.000736653
0,key,0.000733445
0,month,0.000724892
0,murray,0.000722754
0,front,0.000719546
0,trained,0.000718477
0,cape,0.000714201
0,27,0.000713132
0,robert,0.000709924
0,kent,0.000709924
0,28,0.000707786
0,holy,0.000706717
0,knight,0.000703509
0,european,0.000698164
0,half,0.000697095
0,run,0.000693887
0,graham,0.000692818
0,charity,0.00069068
0,ii,0.000689611
0,job,0.000686403
0,newcastle,0.000681058
0,permanent,0.000678919
0,trinity,0.000678919
0,ward,0.000670366
0,seminary,0.000668228
0,couple,0.000665021
0,grammar,0.000663952
0,cathedral,0.000663952
0,belfast,0.000656468
0,honour,0.00065326
0,port,0.000650053
0,broadcasting,0.000629739
0,jean,0.000626532
0,good,0.000625463
0,briefly,0.000625463
0,1965,0.000625463
0,partnership,0.000624394
0,george,0.000623325
0,nova,0.000623325
0,islands,0.000622256
0,established,0.000619048
0,26,0.000619048
0,deal,0.00061691
0,small,0.000614772
0,call,0.000610495
0,bernard,0.000609426
0,entered,0.000608357
0,departure,0.00060408
0,cork,0.00060408
0,limited,0.000595527
0,ten,0.000595527
0,chris,0.000594458
0,lee,0.000590182
0,yorkshire,0.000581629
0,saskatchewan,0.000577352
0,originally,0.000575214
0,1954,0.000566661
0,mike,0.000565592
0,programmes,0.000562384
0,winner,0.000562384
0,commonwealth,0.000562384
0,voted,0.0005549
0,mount,0.0005549
0,heart,0.000549555
0,set,0.000546347
0,neil,0.000546347
0,long,0.000539932
0,celtic,0.000537794
0,leicester,0.000536725
0,howard,0.000535656
0,matthew,0.000533518
0,theology,0.000532449
0,29,0.000529241
0,longer,0.000528172
0,brunswick,0.000526034
0,simon,0.000524965
0,colin,0.000523895
0,finally,0.000521757
0,1952,0.000519619
0,kerry,0.00051855
0,terry,0.000515342
0,rose,0.000515342
0,alex,0.000514273
0,autobiography,0.000512135
0,1957,0.000511066
0,cox,0.000511066
0,weeks,0.000509997
0,offered,0.000507859
0,tom,0.000507859
0,hour,0.000506789
0,native,0.00050572
0,post,0.000501444
0,brisbane,0.000501444
0,andrews,0.000499305
0,represented,0.000498236
0,fine,0.000495029
0,motor,0.00049396
0,australias,0.000491822
0,baron,0.000490752
0,episcopal,0.000488614
0,bridge,0.000488614
0,temple,0.000487545
0,1967,0.000484338
0,cbe,0.000484338
0,century,0.000480061
0,travelled,0.000477923
0,notably,0.000473646
0,reading,0.000471508
0,partner,0.000470439
0,secondary,0.00046937
0,foster,0.000468301
0,trust,0.000466162
0,1969,0.000465093
0,1958,0.000462955
0,clarke,0.000461886
0,nick,0.000461886
0,hull,0.000461886
0,oxford,0.000458679
0,parttime,0.000457609
0,keith,0.000451195
0,replacing,0.000449056
0,anglican,0.000449056
0,parents,0.000449056
0,inaugural,0.000446918
0,allan,0.000443711
0,2006,0.000439434
0,perth,0.000439434
0,test,0.000437296
0,aged,0.000436227
0,galway,0.000433019
0,younger,0.000433019
0,ulster,0.00043195
0,essex,0.000429812
0,lords,0.000427674
0,days,0.000426605
0,calgary,0.000424466
0,boat,0.000424466
0,lived,0.000423397
0,pat,0.000422328
0,kingston,0.000421259
0,chosen,0.000421259
0,cardinal,0.000418052
0,fraser,0.000416982
0,nicholas,0.000415913
0,line,0.000414844
0,watson,0.000413775
0,23,0.000412706
0,torquay,0.000411637
0,weekend,0.000411637
0,davies,0.000410568
0,bath,0.000409498
0,phillips,0.00040736
0,zimbabwe,0.000405222
0,harrison,0.000405222
0,norman,0.000405222
0,idaho,0.000402015
0,edmonton,0.000400945
0,1962,0.000399876
0,stakes,0.000399876
0,arrived,0.000398807
0,bradford,0.000398807
0,newly,0.000397738
0,windsor,0.000397738
0,councillor,0.000396669
0,scotia,0.000396669
0,birth,0.0003956
0,cyprus,0.000391323
0,alongside,0.000390254
0,baker,0.000387047
0,mid,0.000387047
0,adams,0.000385978
0,reputation,0.000385978
0,derek,0.000385978
0,settled,0.000384908
0,churchs,0.000380632
0,attracted,0.000380632
0,fathers,0.000379563
0,harold,0.000378494
0,philip,0.000378494
0,roberts,0.000378494
0,fulltime,0.000376355
0,canberra,0.000375286
0,stay,0.000374217
0,sea,0.000373148
0,wellington,0.000373148
0,ben,0.000372079
0,durham,0.000368872
0,korean,0.000366733
0,reid,0.000365664
0,danny,0.000365664
0,brighton,0.000365664
0,1968,0.000364595
0,accepted,0.000362457
0,canterbury,0.000361388
0,craig,0.000361388
0,recognised,0.000360318
0,halifax,0.000360318
0,firstclass,0.00035818
0,remain,0.00035818
0,employed,0.000357111
0,russell,0.000357111
0,room,0.000357111
